Name MC MP
Bitcoin 116,031,484,753,831 55.68%
Ethereum 37,952,124,742,673 18.21%
Tether 9,990,074,533,952 4.79%
BNB 7,939,077,256,655 3.81%
Solana 5,929,539,054,625 2.85%
USDC 2,883,575,259,414 1.38%
XRP 2,416,113,417,085 1.16%
Dogecoin 1,750,348,216,110 0.84%
Toncoin 1,687,698,460,842 0.81%
Cardano 1,310,251,684,773 0.63%
Shiba 1,082,214,203,677 0.52%
Avalanche 1,058,646,363,300 0.51%
TRON 893,305,917,361 0.43%
Polkadot 791,536,291,575 0.38%
Chainlink 772,959,489,238 0.37%
Bitcoin 755,579,190,027 0.36%
Uniswap 612,559,295,062 0.29%
NEAR 542,111,918,544 0.26%
Polygon 537,120,771,571 0.26%
Litecoin 527,291,927,419 0.25%
UNUS 482,919,886,851 0.23%
Dai 474,917,963,064 0.23%
Pepe 445,824,468,611 0.21%
Internet 377,458,980,990 0.18%
Ethereum 333,314,467,255 0.16%
Kaspa 324,623,148,003 0.16%
Aptos 313,808,731,377 0.15%
Monero 288,660,989,416 0.14%
Render 274,575,972,449 0.13%
Hedera 268,930,457,034 0.13%
Filecoin 259,864,323,084 0.12%
Mantle 257,445,691,331 0.12%
Stellar 252,920,302,746 0.12%
Stacks 250,735,611,777 0.12%
Cosmos 247,960,908,174 0.12%
OKB 244,865,166,972 0.12%
Arbitrum 235,380,541,615 0.11%
Cronos 233,723,864,822 0.11%
Immutable 231,748,062,922 0.11%
First 226,020,031,402 0.11%
dogwifhat 224,384,551,676 0.11%
Injective 209,362,771,493 0.10%
Sui 202,969,714,650 0.10%
The 198,515,128,266 0.10%
Optimism 198,212,395,588 0.10%
Maker 191,369,381,259 0.09%
Bittensor 190,336,353,598 0.09%
VeChain 185,672,892,578 0.09%
Notcoin 185,575,954,442 0.09%
FLOKI 170,424,781,153 0.08%
Arweave 163,897,961,146 0.08%
Lido 157,478,330,135 0.08%
Fantom 154,787,776,459 0.07%
JasmyCoin 152,205,938,242 0.07%
Theta 151,983,008,093 0.07%
Bonk 148,573,788,166 0.07%
Ondo 147,176,395,178 0.07%
Bitget 143,135,300,002 0.07%
THORChain 138,451,761,571 0.07%
Celestia 131,459,281,818 0.06%
Brett 126,193,691,238 0.06%
Core 122,754,169,434 0.06%
Pyth 113,912,936,852 0.05%
Aave 112,296,895,475 0.05%
Sei 111,603,104,369 0.05%
Algorand 109,976,893,276 0.05%
Fetch.ai 109,088,215,041 0.05%
Starknet 108,151,390,321 0.05%
Jupiter 103,708,412,342 0.05%
Flare 102,271,053,553 0.05%
Ethena 100,089,384,629 0.05%
Flow 97,253,486,131 0.05%
Gala 92,512,548,143 0.04%
Quant 89,071,927,022 0.04%
KuCoin 88,539,711,642 0.04%
Axie 87,207,695,333 0.04%
Bitcoin 86,370,871,304 0.04%
BitTorrent 86,204,133,536 0.04%
ORDI 85,231,950,065 0.04%
Beam 84,981,314,605 0.04%
dYdX 79,778,869,427 0.04%
MultiversX 79,843,001,569 0.04%
Neo 79,573,663,550 0.04%
Chiliz 79,533,311,768 0.04%
The 77,803,260,258 0.04%
Ronin 75,740,852,077 0.04%
Gnosis 75,507,042,283 0.04%
Pendle 73,349,247,869 0.04%
Worldcoin 72,307,802,195 0.03%
Akash 72,349,882,205 0.03%
Wormhole 72,267,648,097 0.03%
Tezos 71,414,290,934 0.03%
Oasis 70,203,076,672 0.03%
SingularityNET 70,206,690,367 0.03%
GateToken 70,233,582,428 0.03%
Conflux 67,880,308,970 0.03%
Nexo 66,408,831,639 0.03%
EOS 66,130,153,247 0.03%
Decentraland 65,715,806,196 0.03%
Mina 65,461,929,089 0.03%
